"Asian Studies Major, B.A.–Korean Studies Concentration",KOR 305,KOR 306,KOR 407,KOR 408,KOR 409,KOR 490,ASIA 72,KOR 150,KOR 151,KOR/CMPL 232,KOR/CMPL/WGST 237,KOR 327,KOR 346/CMPL 246,ASIA 350,ASIA 427/CMPL 527/PWAD 427,KOR 447/CMPL 547,ASIA/ECON 469,ASIA 692H,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Asian Studies Major, B.A.–South Asian Studies Concentration",ASIA 59,ASIA 61,HIST 74,ASIA/HIST 135,ASIA/HIST 136,ASIA 152,ASIA/GEOG 267,HNUR 220,HNUR 221,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Biology Major, B.A.",BIOL 101& 101L,BIOL 103,BIOL 104,BIOL 105L,BIOL 220,BIOL 240,BIOL 250,BIOL 260,CHEM 101& 101L,CHEM 102& 102L,BIOL 222,COMP 110,COMP 116,MATH 130,MATH 152,MATH 231,STOR 120,STOR 151,STOR 155,STOR 215,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Biology Major, B.S.",BIOL 101& 101L,BIOL 103,BIOL 104,BIOL 105L,BIOL 220,BIOL 240,BIOL 250,BIOL 260,CHEM 101& 101L,CHEM 102& 102L,CHEM 261,MATH 231,MATH 232,PHYS 115,or PHYS 119,COMP 110,or COMP 116,or BIOL 222,STOR 120,or STOR 215,or STOR 151,or STOR 155,PHYS 114,PHYS 118,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Biology Major, B.S.–Quantitative Biology Track",BIOL 101& 101L,BIOL 103,BIOL 104,BIOL 105L,BIOL 220,BIOL 240,BIOL 250,BIOL 260,BIOL 214H,BIOL 224H,BIOL 226,BIOL 431,BIOL 454,BIOL 465,BIOL 525,BIOL 526,BIOL 527,BIOL 528,BIOL 534,BIOL 542,BIOL 551,BIOL 553,BIOL 554,BIOL 562,BIOL 563,BIOL 642,COMP 555,MATH 553& 553L,MATH 564,PHYS 405,PHYS 461,BIOS 600,or STOR 155,or STOR 151,or STOR 120,CHEM 101& 101L,CHEM 102& 102L,CHEM 261,BIOL 222,COMP 110,COMP 116,COMP 401,MATH 231,MATH 232,MATH 233,or MATH 210,PHYS 114,PHYS 118,PHYS 115,PHYS 119,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Biomedical and Health Sciences Engineering Major, B.S. ",CHEM 101& 101L,ENGL 105,MATH 231,MATH 232,PHYS 118,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Biostatistics Major, B.S.P.H.",MATH 231,MATH 232,MATH 233,BIOL 101& 101L,COMP 116,or COMP 110,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Business Administration Major, B.S.B.A.",BUSI 401,BUSI 403,BUSI 404,BUSI 405,BUSI 406,BUSI 407,BUSI 408,BUSI 410,BUSI 411,BUSI 412,ECON 410,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Chemistry Major, B.A.",CHEM 101& 101L,CHEM 102,or CHEM 102H,CHEM 102L,CHEM 241,CHEM 241L,or CHEM 245L,CHEM 251,CHEM 430,CHEM 480,or CHEM 481,CHEM 550L,CHEM 261,CHEM 262,CHEM 262L,or CHEM 263L,CHEM 395,CHEM 420,CHEM 421,CHEM 431,CHEM 432,CHEM 441,CHEM 444,CHEM 446,CHEM 448,CHEM 450,CHEM 460,CHEM 530L,BIOL 101,MATH 231,MATH 232,PHYS 114,PHYS 118,PHYS 115,PHYS 119,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Chemistry Major, B.S.",CHEM 101& 101L,CHEM 102,or CHEM 102H,CHEM 102L,CHEM 241,CHEM 241L,or CHEM 245L,CHEM 251,CHEM 430,CHEM 481,CHEM 481L,or CHEM 482L,CHEM 482,CHEM 261,CHEM 262,CHEM 262L,or CHEM 263L,CHEM 395,CHEM 520L,CHEM 541L,CHEM 550L,CHEM 551L,CHEM 530L,BIOL 101,MATH 232,MATH 233,MATH 383,PHYS 118,PHYS 119,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
